time,close,high,low,open,volume
1594690260,18.3800,18.5800,18.1800,18.5000,6405045
1594690320,18.4800,18.5200,18.3800,18.3800,2026000
1594690380,18.5200,18.7000,18.5000,18.5000,2428071
1594690440,18.4800,18.5200,18.4400,18.5200,856000
1594690500,18.5200,18.5800,18.4800,18.4800,980000
1594690560,18.4000,18.5200,18.3600,18.5200,1587000
1594690620,18.3400,18.4400,18.3200,18.4000,824000
1594690680,18.4000,18.4200,18.3400,18.3400,961000
1594690740,18.4000,18.4400,18.3600,18.3600,829215
1594690800,18.4200,18.4400,18.3800,18.4200,881000
1594690860,18.4400,18.4400,18.4200,18.4200,520740
1594690920,18.4000,18.4600,18.3000,18.4400,1894000
1594690980,18.4000,18.4000,18.3400,18.3800,755000
1594691040,18.4200,18.4400,18.3800,18.4000,522000
1594691100,18.4600,18.4600,18.4200,18.4400,377000
1594691160,18.4800,18.5000,18.4400,18.4600,1010300
1594691220,18.3600,18.5000,18.3600,18.4600,1539000
1594691280,18.3200,18.4000,18.3200,18.3800,743000
1594691340,18.3800,18.3800,18.2400,18.3000,1705000
1594691400,18.3600,18.3800,18.3400,18.3600,682000
1594691460,18.3800,18.4200,18.3200,18.3400,931000
1594691520,18.2600,18.3600,18.2600,18.3600,940000
1594691580,18.1600,18.2800,18.1600,18.2600,1559000
1594691640,18.1600,18.1600,18.0800,18.1600,2317000
1594691700,18.1800,18.2000,18.1200,18.1600,397000
1594691760,18.2400,18.2400,18.1600,18.1600,777000
1594691820,18.3000,18.3000,18.2200,18.2400,767000
1594691880,18.3200,18.3200,18.2800,18.3000,419000
1594691940,18.3600,18.3600,18.2800,18.3200,725000
1594692000,18.3400,18.3600,18.3200,18.3600,656000
1594692060,18.3200,18.3400,18.3000,18.3400,1200000
1594692120,18.3000,18.3200,18.2800,18.3200,576000
1594692180,18.3200,18.3600,18.2600,18.3000,1081400
1594692240,18.3000,18.3600,18.2600,18.3400,547000
1594692300,18.2800,18.3000,18.2600,18.3000,313000
1594692360,18.3400,18.3400,18.2800,18.2800,637000
1594692420,18.4200,18.4400,18.3200,18.3400,1308000
1594692480,18.3800,18.4400,18.3800,18.4000,635000
1594692540,18.3600,18.4000,18.3200,18.4000,500000
1594692600,18.3000,18.3400,18.2800,18.3400,461000
1594692660,18.2800,18.3000,18.2600,18.2800,502000
1594692720,18.2800,18.3000,18.2400,18.3000,1095000
1594692780,18.2400,18.3000,18.2200,18.2600,676000
1594692840,18.2000,18.2800,18.1800,18.2200,1685000
1594692900,18.1800,18.2000,18.1600,18.2000,574000
1594692960,18.0600,18.1800,18.0400,18.1600,1787069
1594693020,18.1400,18.1600,18.0200,18.0800,1410000
1594693080,18.1200,18.1600,18.1000,18.1400,766000
1594693140,18.1400,18.1400,18.0600,18.1200,649000
1594693200,18.1000,18.1400,18.0800,18.1200,1141000
1594693260,18.0800,18.1200,18.0600,18.0800,485000
1594693320,18.0600,18.0800,18.0400,18.0800,562000
1594693380,18.0600,18.0600,18.0200,18.0400,725000
1594693440,18.0600,18.0800,18.0200,18.0600,741000
1594693500,18.0400,18.0600,18.0200,18.0600,454678
1594693560,18.0200,18.0400,18.0000,18.0400,806000
1594693620,17.9200,18.0200,17.9200,18.0200,2488000
1594693680,17.9200,17.9600,17.8800,17.9200,2029500
1594693740,17.9400,17.9600,17.9000,17.9200,1562000
1594693800,17.8400,17.9600,17.8400,17.9400,901000
1594693860,17.7600,17.8600,17.7600,17.8200,1203000
1594693920,17.8000,17.8600,17.7400,17.7600,1895000
1594693980,17.8200,17.8600,17.7800,17.8400,759000
1594694040,17.8000,17.8400,17.8000,17.8200,598100
1594694100,17.7400,17.8200,17.7200,17.8200,1018000
1594694160,17.6800,17.7400,17.6800,17.7400,1089000
1594694220,17.6800,17.7600,17.6600,17.7000,1666000
1594694280,17.6600,17.7000,17.6400,17.6800,718000
1594694340,17.7000,17.7000,17.6000,17.6400,1811000
1594694400,17.7200,17.7600,17.7000,17.7000,971500
1594694460,17.8000,17.8000,17.7000,17.7200,899000
